(24992,25000) 
(25000,24992) 
(25008,25000) 
(25000,25008) 
(24984.0,25000.0) 
(25000.0,24984.0) 
(24992,24992) 
(25016.0,25000.0) 
(25000.0,25016.0) 
(25008,24992) 
(24976.0,25000.0) 
(25000.0,24976.0) 
(24986.343145750507,24986.343145750507) 
(25008,25008) 
(25024.0,25000.0) 
(25000.0,25024.0) 
(24992,25008) 
(25013.656854249493,24986.343145750507) 
(24968.0,25000.0) 
(25000.0,24968.0) 
(25013.656854249493,25013.656854249493) 
(24980.686291501013,24980.686291501013) 
(25000.0,25032.0) 
(25032.0,25000.0) 
(24986.343145750507,25013.656854249493) 
(25019.313708498987,24980.686291501013) 
(25000.0,24960.0) 
(25019.313708498987,25019.313708498987) 
(24960.0,25000.0) 
(24975.02943725152,24975.02943725152) 
(25040.0,25000.0) 
(25024.97056274848,24975.02943725152) 
(25000.0,25040.0) 
(24952.0,25000.0) 
(24980.686291501013,25019.313708498987) 
(25024.97056274848,25024.97056274848) 
(25048.0,25000.0) 
(25000.0,24952.0) 
(24969.372583002027,24969.372583002027) 
(25030.627416997973,24969.372583002027) 
(24944.0,25000.0) 
(24975.02943725152,25024.97056274848) 
(25000.0,25048.0) 
(25056.0,25000.0) 
(25030.627416997973,25030.627416997973) 
(24963.715728752533,24963.715728752533) 
(25036.284271247467,24963.715728752533) 
(24936.0,25000.0) 
(25064.0,25000.0) 
(25000.0,25056.0) 
(25036.284271247467,25036.284271247467) 
(25041.94112549696,24958.05887450304) 
(24969.372583002027,25030.627416997973) 
(24928.0,25000.0) 
(25072.0,25000.0) 
(25000.0,25064.0) 
(25041.94112549696,25041.94112549696) 
(24952.402020253547,24952.402020253547) 
(25000.0,24928.0) 
(25000.0,25072.0) 
(24963.715728752533,25036.284271247467) 
(24920.0,25000.0) 
(25080.0,25000.0) 
(25047.597979746453,24952.402020253547) 
(25047.597979746453,25047.597979746453) 
(25000.0,24920.0) 
(24912.0,25000.0) 
(25000.0,25080.0) 
24946.745166004053) 
(24958.05887450304,25041.94112549696) 
(25053.254833995947,25053.254833995947) 
(25053.254833995947,24946.745166004053) 
(25088.0,25000.0) 
(25000.0,24912.0) 
(25000.0,25088.0) 
(24941.08831175456,24941.08831175456) 
(24904.0,25000.0) 
(24952.402020253547,25047.597979746453) 
(25096.0,25000.0) 
