 (24999,25000) 
 (25001,25000) 
 (24999,25001) 
 (24999,24999) 
 (24991.0,25000.0) 
 (25009.0,25000.0) 
 (24993.34317403499,25004.656882533833) 
 (24983.0,25000.0) 
 (25017.0,25000.0) 
 (24987.68635307004,24998.999995) 
 (24975.0,25000.0) 
 (25025.0,25000.0) 
 (24982.02953710515,25004.656887533834) 
 (25033.0,25000.0) 
 (24967.0,25000.0) 
 (24959.0,25000.0) 
 (25041.0,25000.0) 
 (24976.372726140336,24998.999989999997) 
 (25049.0,25000.0) 
 (24970.715920175604,25004.656892533836) 
 (24951.0,25000.0) 
 (24943.0,25000.0) 
 (25057.0,25000.0) 
 (24965.059119210964,24998.999984999995) 
 (24935.0,25000.0) 
 (25065.0,25000.0) 
 (24927.0,25000.0) 
 (25073.0,25000.0) 
 (24959.402323246424,25004.656897533838) 
 (24919.0,25000.0) 
 (25081.0,25000.0) 
 (24953.74553228199,24998.999979999993) 
 (24911.0,25000.0) 
 (25089.0,25000.0) 
 (24903.0,25000.0) 
 (24948.088746317677,25004.65690253384) 
 (25097.0,25000.0) 
 (25105.0,25000.0) 
 (24895.0,25000.0) 
 (24942.43196535349,24998.99997499999) 
 (25113.0,25000.0) 
 (24887.0,25000.0) 
 (24879.0,25000.0) 
 (24936.775189389442,25004.65690753384) 
 (25121.0,25000.0) 
 (24871.0,25000.0) 
 (25129.0,25000.0) 
 (24931.118418425536,24998.99996999999) 
 (24863.0,25000.0) 
 (24925.461652461785,25004.656912533843) 
 (25137.0,25000.0) 
 (25145.0,25000.0) 
 (24855.0,25000.0) 
 (24919.804891498196,24998.999964999985) 
 (24847.0,25000.0) 
 (24914.14813553478,25004.656917533845) 
 (25153.0,25000.0) 
 (24908.491384571542,24998.999959999983) 
 (24839.0,25000.0) 
 (25161.0,25000.0) 
 (24831.0,25000.0) 
 (24902.834638608492,25004.656922533846) 
 (25169.0,25000.0) 
 (24823.0,25000.0) 
 (24897.17789764564,24998.99995499998) 
 (25177.0,25000.0) 
 (24891.521161682995,25004.656927533848) 
 (24815.0,25000.0) 
 (25185.0,25000.0) 
 (24807.0,25000.0) 
 (24885.864430720565,24998.99994999998) 
 (25193.0,25000.0) 
 (24799.0,25000.0) 
 (25201.0,25000.0) 
 (24880.20770475836,25004.65693253385) 
 (25209.0,25000.0) 
 (24791.0,25000.0) 
 (24874.550983796387,24998.999944999978) 
 (24868.894267834658,25004.65693753385) 
 (25217.0,25000.0) 
 (24783.0,25000.0) 
 (24863.237556873177,24998.999939999976) 
 (25225.0,25000.0) 
 (24775.0,25000.0) 
 (24857.580850911956,25004.656942533853) 
 (25233.0,25000.0) 
 (24767.0,25000.0) 
 (24851.924149951003,24998.999934999974) 
 (25241.0,25000.0) 
 (24759.0,25000.0) 
 (24846.267453990327,25004.656947533855) 
 (24751.0,25000.0) 
 (25249.0,25000.0) 
 (25257.0,25000.0) 
 (24840.610763029938,24998.999929999973) 
 (24743.0,25000.0) 
 (25265.0,25000.0) 
 (24735.0,25000.0) 
 (24834.954077069844,25004.656952533856) 
 (24829.297396110054,24998.99992499997) 
 (24727.0,25000.0) 
 (25273.0,25000.0) 
 (24719.0,25000.0) 
 (24823.640720150575,25004.656957533858) 
 (24711.0,25000.0) 
 (25281.0,25000.0) 
 (24817.98404919142,24998.99991999997) 
 (24703.0,25000.0) 
 (25289.0,25000.0) 
 (24812.32738323259,25004.65696253386) 
 (24695.0,25000.0) 
 (24806.670722274102,24998.999914999968) 
 (25297.0,25000.0) 
 (24687.0,25000.0) 
 (25305.0,25000.0) 
 (24801.014066315962,25004.65696753386) 
 (24679.0,25000.0) 
 (25313.0,25000.0) 
 (24795.35741535818,24998.999909999966) 
 (25321.0,25000.0) 
 (24671.0,25000.0) 
 (24789.700769400763,25004.656972533863) 
 (25329.0,25000.0) 
 (24663.0,25000.0) 
 (24655.0,25000.0) 
 (25337.0,25000.0) 
 (24784.04412844372,24998.999904999964) 
 (24778.387492487058,25004.656977533865) 
 (24647.0,25000.0) 
 (25345.0,25000.0) 
